Population,Afghanistan,Angola,Albania,United Arab Emirates,Argentina,Armenia,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Bolivia (Plurinational State of),Brazil,Barbados,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Côte d'Ivoire,Cameroon,D.R. of the Congo,Congo,Colombia,Comoros,Cabo Verde,Costa Rica,Czechoslovakia,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,Egypt,Spain,Estonia,Ethiopia,Finland,France,Gabon,United Kingdom,Georgia,Ghana,Guinea,Gambia,Guinea-Bissau,Equatorial Guinea,Greece,Guatemala,"China, Hong Kong SAR",Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,Iran (Islamic Republic of),Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyzstan,Cambodia,Republic of Korea,Kuwait,Lao People's DR,Lebanon,Liberia,Libya,Saint Lucia,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,Republic of Moldova,Madagascar,Mexico,TFYR of Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Poland,Puerto Rico,D.P.R. of Korea,Portugal,Paraguay,State of Palestine,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan (Former),Senegal,Singapore,Sierra Leone,El Salvador,Serbia,Sao Tome and Principe,Former USSR,Slovakia,Slovenia,Sweden,Swaziland,Seychelles,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Trinidad and Tobago,Tunisia,Turkey,"Taiwan, Province of China",U.R. of Tanzania: Mainland,Uganda,Ukraine,Uruguay,United States,Uzbekistan,Venezuela (Bolivarian Republic of),Viet Nam,Yemen,Former Yugoslavia,South Africa,Zambia,Zimbabwe
1991,13672,8587.26,3186.79,1928.84,33504.85,3434.16,17173.5,7800.45,7299.58,5493.167,10007.31,4977.069,8646.02,113756.21,8772.37,517.15,4437.46,10205.71,6731.48,153788.38,263,1302.53,3174,28138.13,6920.93,13371.31,1149978.85,13245.63,12257.59,40406.96,2332.56,33633.47,440,347,3097.38,15503.45,10697,700.71,10255.73,79989.52,552,70,5154.96,7210.98,25722,10429.92,57731.02,39420.56,1559.55,51120.28,5013.73,58459.56,961.2,57695.2,5425.5,15833.22,6215.029,991,1014.019,381,10215.35,9218.24,5735.82,4937.206,4540.64,6850,10352.87,182435.76,857530.33,3528.21,58973.46,17473.89,257.93,4649.53,56799.21,2380.6,3631.31,124027.11,16522.46,24104.61,4445.7,9682.91,43296,945.72,4331,3211.11,1907,4247.59,139,17511,1732,3676.1,388.18,2651.03,25205.99,4400.57,11988.69,86440.96,1867.71,8653.43,362.7,39884.71,590.872,2170,12856.79,1973,1071.72,9891.9,17971.11,1511.62,8071.91,98958.07,3839,15072.55,4263.01,19150,3548.31,1843.81,117782.05,2441,22540.28,66549.41,38197.59,3562,20813,9894.62,4367.11,1998,461.76,22825.56,148397.82,7149.42,16592.96,21253.92,8225.3,3135.1,4335,5196.237,7684.95,119,289958.95,5247.72,1999.48,8617,921.478,72,12866.89,6033.85,3846,55781.62,5406.82,3744.76,1262.02,8370.4,57520.11,20384.72,25935.79,18067.32,51730.36,3123.7,252981,21058.83,19764.74,68674.51,12882.42,23097,39417.52,8211.85,10435.28
1992,15023,8898.84,3077.55,2039.66,33967.31,3357.25,17366.86,7886.77,7411.83,5652.02,10048.32,5143.543,8942.78,116169.16,8658.51,532.49,4233.15,10228.13,6893.45,156388.15,265,1343.39,3267,28473.17,6984.31,13613.62,1163362.82,13654.48,12637.16,41735.41,2400.51,34300.11,451,356,3166.61,15536.37,10780,721.06,10264.81,80516.63,547,70,5171.96,7334.92,26386.97,10553.81,58583.49,39512.73,1528.72,52875.46,5042.03,58750.12,969.7,57841.85,5366.29,16255.8,6435.916,1034,1036.22,392,10290.12,9478.43,5784.69,5084.214,4490.68,6983,10330.85,185560.93,875407.18,3557.23,60398.76,17862.85,261.03,4823.61,56820.82,2413.42,3868.76,124492.83,16583.48,24986.23,4488.85,10116.79,43748,1409.84,4454,3250.74,2009,4354.04,141,17716.45,1762,3628.51,393.5,2613.31,25668.24,4402.35,12356.54,87905.84,1889.36,8960.98,366.15,40419.18,621.621,2210,13005.63,2043,1084.81,10246.3,18440.22,1551.1,8312.79,101378.15,4007,15186.58,4287.02,19705,3585.26,1916.36,119973.85,2489,23517.24,67929.79,38261.74,3585,21182,9890.64,4491.94,2106,477.12,22797.03,148541.79,7329.21,17095.64,22068.64,8448.71,3231.11,4246,5286.006,7645.53,121,290958.57,5271.56,1999.21,8668,956.68,73,13243.44,6274.97,3973,56306.7,5499.68,3829.75,1270.34,8529.4,58475.45,20578.81,26697.6,18702.53,51869.14,3136.53,256514,21609.49,20202.87,70031.62,13368,22905,40421.53,8451.92,10719.94
1993,17003,9241.7,3071.81,2157.76,34407.62,3184.66,17522.06,7952.07,7528.1,5433.427,10087.33,5392.889,9249.82,118565.77,8441.87,546.96,3912.7,10250.71,7049.12,158974.2,266,1387.03,3367,28787.79,7030.35,13855.93,1176726.93,14182.68,13026.1,43175.46,2474.02,34962.7,461,366,3236.54,15566.99,10850,740.52,10277.55,80962.72,534,70,5189.96,7451.17,27045.43,10753.68,59433.58,39599.12,1491.43,54165.91,5066.43,59005.73,1015.63,57971.43,5263.78,16751.31,6601.538,1077,1062.762,403,10346.87,9750.5,5884.4,5237.339,4478.37,7139,10300.83,188686.76,893369.39,3576.24,60738.15,18404.04,263.73,4999.96,56855.53,2446.47,3986.5,124863.61,16522.64,25764.6,4479.71,10595.54,44195,1495.6,4581,3286.19,2084,4458.63,143,17969.63,1791,3565.24,399.11,2560.65,26132.61,4400.8,12736.24,89337.57,1917.56,9191.58,370.39,41003.15,622.526,2242,13398.38,2119,1098.64,10400.7,18925.81,1592.2,8570.2,103916.25,4156,15294.61,4313.02,20278,3628.78,1990.54,122051.82,2538,18966.65,69347.84,38309.85,3615,21563,9901.66,4618.32,2218,493.02,22765.76,148462.38,7649.58,17568.72,22828.99,8668.16,3313.11,4100,5330.663,7639.68,123,291188.5,5289.44,1999.93,8718.7,984.309,73,13614.95,6210.9,3953,56859.28,5546.28,3917.47,1277.87,8686.87,59426.68,20776.63,27606.45,19391.08,51887.21,3149.03,259919,22127.44,20638.76,71356.58,13885.76,22666,41435.99,8696.67,10983.81
1994,18486,9600.6,3116.77,2281.82,34847.36,3059.8,17691.67,7982.74,7636.64,5446.215,10117.33,5604.889,9587.39,120934.91,8363.16,561.67,3726.53,10238.61,7205.29,161540.65,267,1430.31,3466,29104.83,7078.63,14098.25,1189961.97,14873.8,13422.89,44701.69,2549.27,35587.27,472,376,3331.61,15594.26,10893,758.31,10283.07,81163.76,547,71,5206.97,7565.09,27646.75,11012.55,60299.27,39670.12,1467.54,55636.21,5088.33,59225.4,1031.9,58120.09,5141.15,17230.73,6796.459,1120,1088.105,414,10393.81,10031.43,6018.03,5394.923,4499.27,7300,10267.81,191866.83,911360.86,3588.25,60930.48,18967.6,265.93,5177.51,56867.14,2479.7,4085.83,125041.5,16288.69,26399.45,4472.46,10944.13,44642,1583.33,4712,3319.74,2069,4562.71,145,18237.52,1819,3532.75,404.93,2516.97,26597.09,4391.94,13127.69,90755.64,1935.03,9462.97,374.12,41732.02,623.015,2272,14312.76,2183,1111.3,10182.4,19430.32,1633.59,8840.45,106570.58,4289,15385.64,4338.03,20844,3678.58,2052.01,124813.1,2588,19306.39,70860.01,38340.92,3649,21852,9925.49,4746.18,2349,508.97,22733.02,148411.5,5992.26,18012.7,23354.38,8891.17,3419.11,3978,5388.412,7634.41,125,291007.08,5311.19,2001.04,8780.8,987.944,74,13989.11,6321.82,3982,57409.77,5604.13,4003.4,1283.55,8838.28,60374.83,20982.73,28697.51,20103.19,51637.84,3162.34,263126,22603.66,21071.75,72653.82,14394.75,22583,42419.07,8948.6,11108.81
1995,19445,9963.75,3163.85,2408.58,35274.32,2994.93,17889.79,7994.97,7731.18,5812,10138.33,5720.531,9924.43,123279,8284,576.09,3635.99,10205.49,7361.89,164084.6,268,1472.97,3544,29407.56,7142.01,14340.56,1202581.43,15435.83,13824.41,46580.98,2621.11,36184.29,483,385,3428.52,15605.24,10921,774.89,10277.7,81324.8,553,71,5230.97,7683.34,28207.67,11265.61,61182.79,39727.55,1446.51,57288.95,5107.83,59440.08,1041.38,58283.82,5036.81,17625.68,7008.664,1161,1105.764,426,10421.53,10319.05,6138.69,5556.324,4480.94,7464,10335.82,195127.04,929359.12,3603.56,61683.46,19555.02,267.33,5356.27,56868.04,2513.04,4173.72,125361.31,16021.62,27091.5,4516.18,11203.53,45093,1672.8,4846,3351.31,2075,4630.2,146,18476.69,1848,3520.29,410.64,2480.44,27011.65,4374.99,13531.15,92155.18,1954.05,9758.43,377.55,42463.26,623.521,2306,15118.36,2235,1123.12,10095.71,19939.05,1674.93,9133.07,109342.8,4402,15464.33,4360.03,21359,3735.46,2113.06,127886.09,2638,19642.37,72503.97,38363.47,3683,22107,9953.68,4875.43,2506,524.67,22687.41,148379.39,5264.51,18430.53,23891.85,9121.43,3524.12,3881,5469.886,7624.99,127,290778.81,5327.54,2002.83,8827,993.789,75,14365.8,6585.55,4203,57935.9,5677.87,4078.21,1288.17,8969.21,61317.85,21178.86,29646.47,20679.68,51247.74,3175.45,266278,23067.16,21501.33,73903.63,14831.57,22554,43328.95,9200.74,11208.45
1996,20111,10312.91,3144.19,2577.67,35683.44,2985.18,18108.29,8005.77,7815.44,5815,10158.33,5873.704,10269.4,125622.62,8241.39,590.34,3648.74,10171.23,7518.77,166624.17,269,1514.71,3622,29716.57,7174.43,14540.37,1215171.1,15886.71,14231.04,47558.52,2692.17,36759.68,494,395,3515.6,15600.13,10963,787.33,10262.37,81482.83,568,71,5262.98,7805.77,28721.5,11526.48,62093.83,39892.94,1423.63,58915.21,5124.63,59651.76,1060.98,58423.44,4961.31,18019.73,7236.079,1202,1122.655,438,10467.57,10609.83,6417.9,5718.801,4419.9,7629,10318.08,198465.7,947349.69,3628.38,62412.85,20162.66,268.83,5494.09,56884.04,2546.42,4276.03,125636.15,15871.75,27812.89,4580.16,11453.51,45525,1749.58,4948,3381.01,2130,4667.56,148,18692.69,1869,3493.61,415.61,2452.65,27371.21,4353.79,13946.65,93507.91,1971.1,10075.07,379.77,43143.13,623.97,2341,15519.74,2271,1135.34,10345.9,20459.16,1716.34,9442.83,112235.15,4503,15535.36,4382.04,21804,3792.85,2173.41,131362.55,2690,19976.27,74238.79,38377.51,3725,22324,9991.11,5005.93,2671,540.24,22622.47,148163.72,6334.89,18819.82,24441.7,9356.96,3671.12,3811,5551.117,7641.35,130,290515.69,5337.76,2004,8841.1,1018.491,76,14749.97,6862.34,4402,58449.96,5764,4142.14,1291.81,9092.03,62256.76,21345.28,30291.33,21269.68,50813.39,3189.66,269394,23523.69,21927.75,75095.72,15283.82,22502,44144.7,9457.43,11404.98
1997,20769,10651.4,3124.52,2748.95,36102.64,2978.1,18305.22,8014.85,7897.25,5820,10182.34,6054.757,10507.48,128012.4,8191.37,604.57,3681.14,10129.09,7677.67,169178.01,270,1555.16,3707,30013.37,7195.43,14740.18,1227452.97,16303.87,14642.55,48436.08,2750.14,37307.81,506,404,3607.52,15598.23,11014,798.59,10250.72,81526.84,592,70,5285.98,7928.08,29200.15,11792.47,63365.29,40058.7,1404.46,60449.43,5139.83,59864.43,1085.8,58574.11,4912.17,18432.09,7295.772,1242,1144.911,451,10519.36,10900.27,6470.75,5881.443,4398.39,7792,10297.31,201698.33,965307.79,3666.6,63193.71,20785.05,270.83,5635.49,56914.16,2579.39,4379.33,125935.97,15691.72,28575.59,4643.69,11690.24,45954,1810.88,5055,3408.98,2317,4747.36,150,18915.8,1884,3468.01,421.01,2428.33,27721.24,4324.04,14374,94803.1,1984.86,10158.19,382.55,43782.22,623.786,2372,15860.95,2315,1148.35,10654.69,21011.08,1757.56,9752.03,115250.51,4598,15616.39,4406.04,22241,3838.19,2232.74,134716.84,2744,20308.83,75956.95,38380.51,3759,22443,10035.88,5133.38,2832,563.67,22557.74,147918.96,7394.52,19187.72,25004.2,9590.23,3796.12,3765,5620.865,7627.47,132,290183.65,5347.51,2000.45,8846.2,1031.563,76,15139.29,7079.8,4572,58949.87,5864.32,4200.06,1294.91,9208.78,63191.57,21525.16,31028.08,21926.05,50371.4,3206.58,272647,23952.05,22351.31,76233.82,15741.18,22521,44887.24,9741.81,11610.62
1998,21452,10990.17,3104.85,2923.33,36518.41,2971.93,18488.64,8023.65,7979.03,5955,10204.34,6252.794,10759.32,130475.57,8136.89,618.79,3713.47,10092.29,7840.31,171744.07,271,1593.9,3798,30263.49,7219.39,14940,1238722.12,16676.55,15059.74,49607.26,2812.03,37837.72,518,413,3694.98,15596.89,11064,808.47,10242.06,81462.82,621,70,5303.98,8051.31,29649.01,12050.63,64666.82,40222.83,1391.57,61980.65,5153.53,60085.1,1110.9,58735.82,4878.19,18872.79,7387.802,1282,1163.292,464,10577.83,11192.91,6525.6,6045.973,4395.69,7957,10273.38,204871.59,983180.71,3716.51,63971.98,21421.74,273.73,5775.05,56930.46,2611.52,4484.22,126273.77,15484.89,29375.16,4708.41,11912.66,46287,1869.29,5168,3435.41,2584,4870.13,151,19124.2,1897,3442.88,426.38,2405.54,28061.72,4285.7,14813.09,96051.47,1995.47,10286.32,385.03,44407,623.492,2403,16200.16,2374,1160.66,10975.63,21582.19,1798.52,10078.64,118391.17,4689,15712.42,4432.05,22672,3868.26,2290.9,138043.66,2797,20638.13,77636.64,38372.49,3781,22483,10086.71,5253.41,2915,595.17,22511.38,147674.36,7720.69,19558.46,25579.64,9836.75,3927.13,3746,5692.741,7609.13,135,289843.01,5354.83,1996.44,8851.1,1032.922,77,15532.82,7309.66,4715,59410.62,5983.12,4261.7,1297.85,9316.58,64096.63,21720.04,31951.02,22621.76,49941.24,3221.7,275854,24342.16,22771.61,77323.05,16224.22,22586,45577.49,10031.67,11812.61
1999,22206,11333.74,3085.19,3101.33,36923.91,2969.87,18692.03,8039.27,8055.64,6128,10227.34,6460.886,11074.91,132906.85,8091.39,633.39,3810.87,10064.2,8006.59,174320.07,273,1630.44,3889,30510.48,7257.6,15139.81,1248899.1,17105.62,15483.38,51181.35,2885.99,38365.28,531,422,3784.67,15589.53,11108,817.58,10229.96,81438.82,646,70,5321.99,8175.45,30083.24,12268.31,66001.39,40378.47,1377.68,63575.38,5165.53,60395.63,1142.99,58945.76,4847.71,19327.32,7610.461,1320,1182.537,478,10618.42,11487.06,6587.42,6198.223,4376.74,8121,10244.32,208105.3,1000964.74,3757.14,64703.75,22076.27,277.12,5927.17,56940.07,2642.78,4591.3,126511.63,15356.53,30191.65,4773.36,12122.15,46617,1926.06,5286,3460.18,2741,4993.03,152,19353.93,1908,3418.54,432.53,2386.06,28399.78,4244.18,15259.21,97242.3,2005.7,10596.34,387.24,45018.42,623.269,2433,16522.2,2437,1173.13,11309.82,22131.86,1840.87,10423.85,121649.22,4778,15817.46,4463.06,23087,3889.61,2347.74,141497.13,2848,20962.98,79345.75,38358.46,3800,22594,10143.9,5365.67,2996,626.82,22414.43,147218.35,7808.2,19963.7,26168.33,10070.4,3959.13,3736,5766.694,7610.97,138,289339.29,5359.57,1997.81,8858,1033.082,78,15929.63,7559.33,4852,59747.56,6110.48,4324.13,1300.57,9416.71,65020.15,21892.5,32912.42,23407.56,49491.19,3233.83,279040,24701.37,23188.24,78394.49,16728.3,22541,46257.29,10327.47,11985.01
2000,22461,11676.48,3064.76,3283.64,37336.15,2966.02,18907.15,8058.63,8127.31,6282,10252.35,6677.134,11405.08,135207.06,8051.53,648.13,3901.38,10033.95,8176.79,176901.86,274,1664.69,3980,30795.95,7295.66,15339.62,1258400.92,17552.11,15913.47,52781.73,2998.67,38910.64,545,430,3867.38,15584.37,11147,826.27,10219.74,81473.83,669,71,5338.99,8300.57,30514.67,12445.84,67376.68,40563.23,1399.76,65213.05,5176.23,60811,1178.63,59148.66,4814.41,19792.18,7780.073,1357,1207.665,491,10661.93,11728.4,6646.26,6367.242,4333.77,8279,10217.74,211407.57,1018667.41,3806.64,65411.32,22748.15,281.12,6088.39,56965.88,2670.45,4700.34,126755.48,15334.8,31024.77,4826.16,12317.24,47008,1982.27,5397,3499.46,2847,5115.5,153,19609.64,1916,3394.58,438.19,2363.21,28744.15,4199.33,15706.79,98402.89,2017.37,10832.5,389.72,45616.38,622.985,2461,16840.86,2501,1186.45,11657.9,22694.62,1893.31,10785.06,125013.93,4866,15931.5,4492.07,23487,3912.39,2403.18,145759.03,2900,21291.22,81131.21,38344.43,3811,22785,10215.47,5473.21,3075,658.68,22262.41,146600.43,7867.75,20425.95,26770.57,10304.7,4028.13,3809,5825.336,7586.69,141,288729.68,5364.63,2003.54,8872.2,1031.828,79,16329.3,7820.61,4992,60165.31,6229.31,4384.94,1303.29,9514.4,65948.8,22068.32,33953.49,24194.8,49013.83,3245.77,282162,25041.64,23600.76,79471.69,17235.92,22507,46958,10648.5,12104.31
2001,22507,12030.15,3046.63,3458.06,37713.74,2965.48,19151.47,8089.53,8193.79,6466,10288.35,6901.575,11827.97,137419.6,7798.39,665.18,3918.64,10000.04,8351.14,179388.87,275,1698.06,4054,31132.32,7331.76,15512.86,1267177.95,18009.93,16353.51,54452.9,3112.61,39410.81,559,438,3950.54,15515.27,11179,835.2,10171.67,81533.84,693,71,5357.99,8426.81,30952.16,12629.12,68790.07,40774.93,1391.17,66889.11,5188.03,61255.33,1207.44,59376.67,4788.88,20280.24,7821.148,1393,1233.497,506,10717.53,11967.65,6695.12,6535.344,4170.98,8430,10194.34,214475.08,1036256.26,3866.22,66167.23,23439.67,285.02,6236.09,57003.59,2694.39,4811.12,127056.3,15383.37,31919.02,4864.97,12503.66,47370,2038.03,5499,3554.35,2917,5236.93,154,19838.15,1922,3366.76,443.08,2333.36,29093.76,4154,16161.78,99598.6,2025.86,10889.69,392.86,46171.26,622.684,2489,17175.66,2566,1199.08,12019.52,23290.71,1945.46,11170.25,128512.68,4952,16051.54,4515.07,23887,3946.9,2457.3,150447.74,2952,21630.64,83022.56,38339.42,3819,22977,10287.75,5579.17,3155,691.14,22106.06,145980.01,7981.2,20956.44,27386.67,10575.71,4138.14,4043,5855.648,7573.65,144,288097.13,5343.6,2006.11,8896.1,1029.857,80,16730.17,8092.47,5135,60746,6338.71,4444.05,1307.96,9613.11,66869.25,22224.35,34973.97,24992.16,48520.34,3257.26,284969,25372.2,24011.17,80545.82,17762.37,22580,47819.76,10980.14,12208.01
2002,23600,12443.08,3037.51,3613.24,38079.14,2962.46,19370.56,8129.6,8256.54,6670,10334.36,7130.417,12379.55,139573.13,7754.63,707.49,3923.03,9955.44,8529.38,181720.82,276,1730.05,4128,31472.72,7384.16,15686.11,1275379.1,18438.09,16815.16,56170.49,3180.56,39918.43,574,447,4020.87,15491.1,11210,844.85,10148.37,81594.85,716,72,5377,8553.01,31396.8,12827.21,70269.4,41432.55,1381.98,68649.4,5200.63,61702.65,1233.76,59630.8,4770.54,20805.64,7905.703,1431,1260.374,521,10756.86,12257.69,6725.03,6698.324,4175.82,8580,10165.35,217515.5,1053662.56,3934.32,66689.11,24212.06,287.52,6365.65,57113.64,2707.31,4923.41,127324.14,15447.1,32865.23,4901.27,12690.54,47645,2093.88,5578,3609.52,2978,5356.65,155,20060.27,1926,3339.84,447.89,2306.09,29447.49,4107.59,16630.79,100862.57,2011.21,11007.42,395.69,46689.77,621.991,2519,17525.04,2632,1210.67,12394.83,23874.25,1980.76,11580.19,132165.34,5036,16154.57,4539.08,24273,4018.26,2510.22,154584.56,3003,21979.9,84875.55,38320.37,3824,23165,10344.24,5683.44,3235,724.03,21930.79,145310.02,8143.59,21549.33,28016.94,10863.98,4176.14,4287,5868.695,7570.22,147,287462.76,5342.73,2009.21,8925.1,1027.991,81,17131.64,8394.56,5278,61322.79,6451.61,4502.08,1314.11,9710.83,67728.13,22344.24,36021.41,25845.76,48074.07,3267.74,287625,25696.13,24424.59,81637.38,18309.57,22689,48479.69,11290.49,12280.78
2003,25005,12935.95,3026.17,3753.51,38438.45,2955.37,19594.62,8165.94,8319.21,6897,10377.36,7359.67,12829.12,141650.47,7709.95,772.98,3939.53,9905.46,8710.72,183969.78,278,1760.82,4215,31757.69,7437.94,15859.34,1283063.96,18895.19,17288.72,57859.72,3273.98,40415.63,590,455,4079.3,15492.65,11241,855.21,10149.25,81565.85,691,72,5391,8677.89,31846.68,13073.91,71784.5,42205.42,1373.69,70490.58,5213.03,62140.99,1261.56,59903.01,4746.33,21349.9,8120.753,1469,1288.445,536,10782.59,12556.06,6712.07,6862.657,4175.93,8739,10136.27,220548.61,1070881.82,3999.5,67806.63,24978.66,289.22,6484.47,57423.17,2709.36,5037.03,127558,15525.67,33846.16,4945.64,12881.4,47892,2150.68,5654,3664.84,2983,5475.69,156,20297.12,1926,3312.81,453.51,2283.84,29805.9,4059.43,17113.62,102132.4,2017.79,11306.84,398.32,47201.05,620.914,2547,17888.5,2699,1221.98,12786.22,24436.91,2007.98,12014.68,135971.21,5116,16230.6,4566.08,24645,4094.07,2562,158208.72,3054,22338.7,86696.97,38283.29,3826,23330,10383.15,5785.84,3315,757.24,21828.19,144652.13,8288.24,22188.86,28661.72,11171.51,4115.14,4466,5880.201,7550.6,151,286887.01,5343.4,2010.47,8958.3,1026.252,82,17533.99,8762.83,5425,61883.59,6567.44,4555.59,1320.06,9809.57,68540.83,22443.24,37099.9,26661.41,47692.44,3276.88,290108,25991.96,24840.5,82720.33,18854.79,22784,48951.36,11592.96,12317.79
2004,25698,13480.16,3013.55,3882.1,38799.8,2953.25,19805.27,8217.43,8391.14,7167,10422.37,7589.367,13177.75,143644.05,7668.17,839.41,3974.55,9856.19,8894.52,186165.41,279,1792.27,4289,32055.38,7487.68,16029.28,1290619.75,19432.14,17764.35,59598.53,3399.65,40898.58,606,463,4145.05,15500.9,11260,866.72,10154.49,81472.83,657,72,5404,8801.44,32320.2,13367.8,73297.86,42868.51,1364.8,72388.73,5228.23,62600.29,1297.37,60217.4,4738.53,21899.81,8316.554,1508,1317.452,551,10809.3,12873.21,6764.92,7028.058,4178.58,8900,10113.85,224472.83,1087941.16,4069.9,68479.51,25725.62,292.52,6602.96,57852.35,2710.51,5160.83,127657.94,15629.39,34880.3,4998.61,13076.05,48083,2208.44,5746,3720.55,3005,5595.3,157,20528.7,1925,3275.83,459.78,2258.8,30168.74,4012.88,17610.28,103333.96,2023.53,11579.46,400.91,47699.22,620.511,2574,18263.58,2768,1232.85,13196.07,24993.25,2034.39,12472.32,139900.21,5193,16287.62,4593.09,24989,4151.15,2612.83,161555.54,3104,22706.95,88568.1,38268.25,3827,23477,10408.07,5886.18,3396,849.69,21704.23,144070.82,8467.88,22850.36,29321.34,11498.25,4167.14,4602,5887.619,7533,154,286456.69,5346.41,2011.47,8993.6,1024.634,83,17941.8,9191.33,5578,62425.1,6688.02,4607.91,1326.19,9905.97,69365.84,22527.75,38167,27413.94,47342.45,3284.75,292805,26268.07,25254.6,83821.16,19409.69,22881,49478.46,11907.31,12335.81
2005,26335,14012.1,2998.17,4000.26,39171.29,2950.75,20047.81,8273.6,8475.29,7439,10480.38,7838.059,13540.36,145546.03,7627.5,906.56,3991.17,9807,9080.52,188329.88,280,1824.3,4363,32359.57,7532.09,16221.79,1298245.04,19967.69,18249.29,61473.89,3542.76,41374.02,623,471,4211.57,15532.64,11268,879.3,10181.52,81353.8,666,72,5420.01,8923.59,32785.04,13661.29,74832.48,43672.12,1357.41,74326.54,5246.13,63072.58,1339.63,60682.47,4785.64,22468.54,8477.819,1548,1347.728,567,10841.06,13199.77,6793.84,7194.127,4181.86,9061,10093.76,227533.56,1104803.03,4162.62,69324.65,26530.79,295.82,6723.3,58190.99,2710.71,5295.47,127678.93,15758.32,35961.32,5048.18,13275.77,48185,2268.12,5836,3776.51,3138,5715.32,157,20703.16,1922,3222.88,466.99,2234.59,30551.82,3966.31,18119.86,104508,2027.83,11804,403.55,48196.25,620.641,2602,18652.46,2838,1243.23,13624.51,25543.29,2059.96,12953.98,143913.81,5267,16325.63,4624.1,25255,4198.42,2663.04,165074.62,3155,23055.48,90418.14,38249.21,3822,23621,10427.33,5984.27,3478,1001.11,21570.5,143522.29,8645.38,23516.1,29996.14,11838.69,4266.14,4708,5899.475,7510.4,158,286149.53,5351.12,2015.03,9029.7,1023.13,84,18423.16,9593.55,5715,62956.09,6814.33,4663.56,1331.84,9996.71,70223.69,22608.01,39261.76,28200.12,47002.64,3291.25,295517,26540.34,25666.6,84941.68,20000.01,22951,50053.67,12243.44,12328.91
2006,27154,14534.99,2979.31,4531.54,39555.98,2947.9,20320.25,8316.52,8565.3,7709,10549.39,8088.622,13916.68,147376.03,7587.22,974.28,3992.51,9764.25,9268.47,190437.71,281,1856.8,4449,32688.16,7579.11,16364.13,1305115.74,20512.46,18746.12,63479.43,3701.68,41862.26,640,478,4278.26,15568.83,11266,894.09,10213.92,81189.77,679,72,5438.01,9044.31,33286.41,13915.49,76431.65,44370.19,1349.22,76326.33,5266.33,63512.91,1384.12,61098.32,4826.38,23057.77,8649.52,1589,1379.383,583,10873.66,13517.37,6837.72,7359.013,4183.16,9216,10078.05,230738.54,1121354.32,4272.5,70158.08,26705.98,304.22,6846.15,58424.29,2709.94,5764.57,127761.88,15913.64,37092.53,5095.6,13460.68,48438,2328.65,5931,3852.95,3311,5835.48,158,20917.43,1919,3171.87,474.24,2214.54,30953.2,3918.92,18640.92,105737.62,2031.19,12043.06,405,48673.71,620.482,2633,19058.65,2909,1252.89,14071.9,26086.03,2085.78,13459.04,148018.57,5338,16351.64,4662.11,25484,4247.71,2713.22,168846.15,3206,23380.2,92253,38220.14,3805,23764,10446.19,6079.9,3559,1152.85,21443.09,143053.11,8834.08,24177.78,30686.47,12203.57,4401.14,4818,5905.773,7480.93,161,285979.85,5354.91,2022.12,9080.6,1021.329,85,19251.67,9966.84,5865,63466.5,6943.47,4718.86,1337.68,10086.63,71106.17,22696.25,40387.27,29021.36,46685.26,3297.7,298380,26811.53,26078.92,86036.4,20610.7,23000,50666.53,12611.89,12394.48
